Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7991483321504613,0.6511627906976745,0.5240641711229946,0.5807407407407408
Random Forest,0.8005677785663591,0.6678700361010831,0.4946524064171123,0.5683563748079877
